model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.5526315789473685,0.3559322033898305,0.39339875111507583,0.0,0.0,0.0,0.5,0.4473684210526316,2253,133,2
fusion_lr,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7105263157894737,0.706712403523817,0.7102329379228848,0.6732673267326733,0.68,0.6666666666666666,0.7675070028011204,0.7303359547070072,2253,133,2
fusion_svm,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.6842105263157895,0.6793750000000001,0.6835197368421053,0.64,0.6530612244897959,0.6274509803921569,0.7416744475568005,0.6710152866612457,2253,133,2
fusion_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7894736842105263,0.7878411910669976,0.789800182839232,0.7692307692307693,0.7547169811320755,0.7843137254901961,0.8478057889822596,0.8150356041797477,2253,133,2
fusion_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7894736842105263,0.7852433281004709,0.7884160951830125,0.7551020408163265,0.7872340425531915,0.7254901960784313,0.8705259881730469,0.8463939888194062,2253,133,2
