model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_edu_to_eng_cluster_safe,331,0.7522658610271903,0.5394665399755667,0.7957714999977445,0.22641509433962265,0.15789473684210525,0.4,0.6817275747508306,0.20767131788473406,1844,325,2,0.83,0.7200031328320802
fusion_svm,target_design_binary,split_edu_to_eng_cluster_safe,331,0.7341389728096677,0.5202898550724637,0.7825211261438767,0.2,0.1375,0.36666666666666664,0.6603543743078626,0.1970178778120301,1844,325,2,0.5499999999999999,0.7015610651974289
fusion_mlp,target_design_binary,split_edu_to_eng_cluster_safe,331,0.8459214501510574,0.5526671436521187,0.8492041476118665,0.19047619047619047,0.18181818181818182,0.2,0.7390919158361019,0.21917296905939374,1844,325,2,0.19,0.7374471787223464
fusion_extra_trees,target_design_binary,split_edu_to_eng_cluster_safe,331,0.8882175226586103,0.5763016779103961,0.8739396846947836,0.2127659574468085,0.29411764705882354,0.16666666666666666,0.7816168327796235,0.23912080700349603,1844,325,2,0.15999999999999998,0.7226699535412914
