,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,114,0,0,0,0,0
implicit_mmr,59,0,0,0,0,0
multi_method_not_mmr,51,0,0,0,0,0
no_method_signal,56,0,0,0,0,0
qual_only,40,0,0,0,0,0
quant_only,54,0,0,0,0,0
