model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.5424657534246575,0.35168738898756663,0.38155672887418185,0.0,0.0,0.0,0.5,0.4575342465753425,1735,400,2
fusion_lr,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7643835616438356,0.7636010362694301,0.7647561927745048,0.75,0.7288135593220338,0.7724550898203593,0.8470332063146435,0.812543154801062,1735,400,2
fusion_svm,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7534246575342466,0.7526057356307989,0.7538146203454121,0.7383720930232558,0.7175141242937854,0.7604790419161677,0.8287969515514425,0.7909567833743597,1735,400,2
fusion_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7643835616438356,0.7641693713186681,0.7647729985986856,0.7570621468926554,0.7165775401069518,0.8023952095808383,0.8625476320087098,0.8108442853206456,1735,400,2
fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.821917808219178,0.8214836607700469,0.8222313591546618,0.8126801152737753,0.7833333333333333,0.844311377245509,0.8703804512187746,0.8135930611676581,1735,400,2
