epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.807962954044342,0.32786885245901637,0.4878048780487805,0.31987205117952816,0.4878048780487805,1.0,0.6557377049180327,0.821875,0.7509866640461619,
2,1.126601219177246,0.32786885245901637,0.4878048780487805,0.31987205117952816,0.4878048780487805,1.0,0.6557377049180327,0.7930059523809524,0.738090239874903,
3,0.7457725405693054,0.3387096774193548,0.5121951219512195,0.3469708890637293,0.0,0.0,0.0,0.7742559523809525,0.724073126721207,
4,0.734757661819458,0.3387096774193548,0.5121951219512195,0.3469708890637293,0.0,0.0,0.0,0.7741815476190476,0.7224471509042287,
5,0.7385004758834839,0.3387096774193548,0.5121951219512195,0.3469708890637293,0.0,0.0,0.0,0.7899925595238095,0.7359891631700142,
6,0.7284056544303894,0.3387096774193548,0.5121951219512195,0.3469708890637293,0.0,0.0,0.0,0.8001488095238095,0.7446072646523964,
7,0.7073301076889038,0.48553312197563825,0.5701219512195121,0.49062117185496895,0.7714285714285715,0.16875,0.27692307692307694,0.8014508928571428,0.7436325680070499,
8,0.6923037767410278,0.6317615839967341,0.6646341463414634,0.6290781095196132,0.5939849624060151,0.9875,0.7417840375586855,0.7906622023809523,0.7365092170477985,
9,0.6868523359298706,0.3538343263501826,0.5,0.3463386507783971,0.49382716049382713,1.0,0.6611570247933884,0.7623883928571429,0.7172530879124981,
10,0.6946552395820618,0.32786885245901637,0.4878048780487805,0.31987205117952816,0.4878048780487805,1.0,0.6557377049180327,0.7413690476190476,0.7038101486678217,
11,0.6903576254844666,0.3538343263501826,0.5,0.3463386507783971,0.49382716049382713,1.0,0.6611570247933884,0.7405877976190476,0.7011604432888492,
12,0.6877461671829224,0.4957919998230539,0.5762195121951219,0.49088039601407263,0.5351170568561873,1.0,0.6971677559912854,0.742485119047619,0.7043454706862429,
