,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,106,0,0,4,0,0
implicit_mmr,44,0,0,11,0,2
multi_method_not_mmr,28,1,2,22,2,4
no_method_signal,9,0,2,39,2,3
qual_only,17,0,0,10,1,3
quant_only,21,5,2,20,0,5
