model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_cold_start_pi_cluster_safe,336,0.9077380952380952,0.6148925943727586,0.9067386225388961,0.27906976744186046,0.2857142857142857,0.2727272727272727,0.7269832078749277,0.19557990488692995,1762,402,2,0.8799999999999999,0.5701512910931634
fusion_svm,target_design_binary,split_cold_start_pi_cluster_safe,336,0.9077380952380952,0.5780775306841658,0.9021882540839886,0.20512820512820512,0.23529411764705882,0.18181818181818182,0.7084539664157499,0.1978310372284599,1762,402,2,0.73,0.5608690375045515
fusion_mlp,target_design_binary,split_cold_start_pi_cluster_safe,336,0.8601190476190477,0.6204484822265484,0.8825601117943752,0.3188405797101449,0.23404255319148937,0.5,0.8477127967573828,0.25824978569603957,1762,402,2,0.05,0.5318724195816886
fusion_extra_trees,target_design_binary,split_cold_start_pi_cluster_safe,336,0.7619047619047619,0.5714285714285714,0.8197278911564625,0.2857142857142857,0.17777777777777778,0.7272727272727273,0.8164447017950203,0.24559877633260102,1762,402,2,0.10999999999999999,0.5570571888255083
