model,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
text_hgt,target_design_binary,split_cross_program_cluster_safe,train,2228,7,0.76,42,0.8752244165170556,0.7345231666023746,0.876612344999568,0.9316640584246219,0.9239524055871702,0.9277922077922078,0.8060185712907837,0.9580161669020963,
text_hgt,target_design_binary,split_cross_program_cluster_safe,validation,54,7,0.76,42,0.7962962962962963,0.76,0.8118518518518519,0.9696969696969697,0.7619047619047619,0.8533333333333334,0.8730158730158731,0.9663156036478213,
text_hgt,target_design_binary,split_cross_program_cluster_safe,test,218,7,0.76,42,0.7110091743119266,0.6237157182388559,0.6968759480905722,0.7647058823529411,0.8496732026143791,0.804953560371517,0.6974358974358974,0.8390449330398154,
