epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.7982551455497742,0.45977011494252873,0.851063829787234,0.7825874296894105,0.851063829787234,1.0,0.9195402298850575,0.8751674107142856,0.9731891325743107,
2,1.0750067234039307,0.7285996898893226,0.8563829787234043,0.8593546831148945,0.9235668789808917,0.90625,0.9148264984227129,0.8886718749999999,0.9775923093597009,
3,0.7029496431350708,0.12962962962962962,0.14893617021276595,0.03861308116627265,0.0,0.0,0.0,0.851171875,0.9680048594644723,
4,0.7310464382171631,0.12962962962962962,0.14893617021276595,0.03861308116627265,0.0,0.0,0.0,0.8534598214285714,0.9675794727496283,
5,0.7291063070297241,0.1330456592290623,0.15159574468085107,0.0440052490604763,1.0,0.003125,0.006230529595015576,0.8597098214285714,0.9697020560011216,
6,0.6928347945213318,0.5282889622634248,0.5664893617021277,0.6225404150841495,0.9815950920245399,0.5,0.6625258799171843,0.8492745535714284,0.9670716160969658,
7,0.6671754717826843,0.7243401759530792,0.8404255319148937,0.8499407250265177,0.9333333333333333,0.875,0.9032258064516129,0.8217633928571428,0.9598441052969091,
8,0.6522893905639648,0.6251810333477532,0.8590425531914894,0.8330579398755187,0.8781869688385269,0.96875,0.9212481426448736,0.7983816964285714,0.9539743619989397,
9,0.6540061831474304,0.6363095238095238,0.8617021276595744,0.8373353596757853,0.8806818181818182,0.96875,0.9226190476190477,0.7976004464285715,0.9541907553140321,
10,0.6757755279541016,0.714595532422468,0.851063829787234,0.8531633420543842,0.9177215189873418,0.90625,0.9119496855345912,0.8014508928571429,0.9560556337683976,
11,0.6360520124435425,0.6940187169401872,0.8085106382978723,0.8254355310203128,0.9335664335664335,0.834375,0.8811881188118812,0.804017857142857,0.9571252081350323,
12,0.6210446953773499,0.5865766445246122,0.6781914893617021,0.7232225147901022,0.927038626609442,0.675,0.7811934900542495,0.8066406250000001,0.9579675417412529,
13,0.6201916337013245,0.5245040073577717,0.5904255319148937,0.6488131679512017,0.923469387755102,0.565625,0.7015503875968992,0.8078683035714286,0.958446352460896,
14,0.6104621887207031,0.5046587942226162,0.5611702127659575,0.6221313493048375,0.9234972677595629,0.528125,0.6719681908548708,0.8056919642857143,0.9580265615984267,
15,0.6102447509765625,0.5106526559336739,0.5691489361702128,0.6294451019524913,0.9247311827956989,0.5375,0.6798418972332015,0.8033482142857143,0.9575249059134723,
16,0.611998438835144,0.5324933687002653,0.601063829787234,0.6582058806930414,0.925,0.578125,0.7115384615384616,0.804408482142857,0.957974335340464,
17,0.5912990570068359,0.5955220070743537,0.6861702127659575,0.7299665368641481,0.9316239316239316,0.68125,0.7870036101083032,0.8115513392857142,0.9600302862638591,
18,0.5857176780700684,0.6485701785785307,0.75,0.7811319253867876,0.937984496124031,0.75625,0.8373702422145328,0.8275111607142857,0.9640676711746343,
19,0.586467981338501,0.6734253796160412,0.7686170212765957,0.7972214062090777,0.9498069498069498,0.76875,0.8497409326424871,0.8435267857142857,0.9682430448660299,
20,0.5618583559989929,0.6859739621714567,0.773936170212766,0.8026675446986206,0.9607843137254902,0.765625,0.8521739130434782,0.8546316964285714,0.9713749333376475,
21,0.5470619201660156,0.6985191876338466,0.7898936170212766,0.8150546917801341,0.9581749049429658,0.7875,0.8644939965694682,0.8681919642857143,0.9752285020735705,
22,0.5374442934989929,0.7115321961934189,0.8058510638297872,0.8273469918027271,0.955719557195572,0.809375,0.8764805414551607,0.8761160714285715,0.9771848819767208,
23,0.5161054134368896,0.7324963381460556,0.8191489361702128,0.8393948702880064,0.9666666666666667,0.815625,0.8847457627118644,0.8839285714285715,0.9789355624105756,
24,0.49587371945381165,0.6830867203596178,0.7606382978723404,0.7931599271518692,0.9752066115702479,0.7375,0.8398576512455516,0.8928571428571428,0.9807834916557476,
