,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,3,5,10,17,0,15
true_implicit_mmr,1,3,3,2,1,5
true_multi_method_not_mmr,2,4,4,13,1,14
true_no_method_signal,1,5,14,24,1,20
true_qual_only,0,3,2,2,0,1
true_quant_only,1,8,12,9,0,12
