,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,398,6,7,12,12,9
implicit_mmr,140,8,2,3,10,3
multi_method_not_mmr,62,1,5,18,1,4
no_method_signal,10,1,1,9,0,2
qual_only,81,4,0,5,3,2
quant_only,47,11,1,17,0,2
