,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,82,16,2,1,3,6
implicit_mmr,37,8,3,4,4,1
multi_method_not_mmr,7,8,17,12,5,10
no_method_signal,3,1,8,33,2,8
qual_only,11,3,3,3,8,3
quant_only,17,3,11,8,3,11
