epoch,loss,threshold,train_accuracy,train_macro_f1,train_weighted_f1,train_positive_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,val_accuracy,val_macro_f1,val_weighted_f1,val_positive_f1,val_precision,val_recall,val_roc_auc,val_pr_auc
1,0.7021160125732422,0.5,0.7711815561959654,0.527481136495693,0.7608154869791801,0.8668232136866824,0.8516809492419248,0.8825136612021858,0.5095691428225758,0.8400660847173542,0.8175,0.5640164240388205,0.8199932810750279,0.8964539007092198,0.9002849002849003,0.8926553672316384,0.5712355686563497,0.8910100025831424
2,2.378262519836426,0.5,0.15619596541786743,0.13509471585244268,0.04220249913084952,0.0,0.0,0.0,0.6828307422418487,0.9148798354015868,0.115,0.1031390134529148,0.023721973094170404,0.0,0.0,0.0,0.711864406779661,0.9479023978216381
3,0.5938942432403564,0.5,0.6536023054755044,0.5829775610505237,0.7009822110491257,0.754593711719069,0.9380710659898477,0.6311475409836066,0.7729089790897911,0.9458175154191787,0.665,0.5673930589184827,0.7256190476190477,0.7728813559322034,0.9661016949152542,0.6440677966101694,0.7877671333824613,0.9654462862694919
4,1.1882401704788208,0.5,0.8438040345821326,0.45764301344170055,0.7723220422808641,0.9152860268834011,0.8438040345821326,1.0,0.6465478999052285,0.9039016196975813,0.885,0.46949602122015915,0.8310079575596816,0.9389920424403183,0.885,1.0,0.6763080324244657,0.941858553230191
5,1.0945008993148804,0.5,0.8438040345821326,0.45764301344170055,0.7723220422808641,0.9152860268834011,0.8438040345821326,1.0,0.671891698425181,0.9176563531221442,0.885,0.46949602122015915,0.8310079575596816,0.9389920424403183,0.885,1.0,0.6791943011545075,0.9397037304609179
6,0.8835493326187134,0.5,0.8449567723342939,0.4652553160529388,0.7750937820882717,0.915858617453863,0.8447778418926717,1.0,0.7037560744459904,0.9252094676740792,0.885,0.46949602122015915,0.8310079575596816,0.9389920424403183,0.885,1.0,0.7112503070498649,0.9495872273667825
7,0.6695233583450317,0.5,0.8489913544668588,0.5277018153406258,0.7955553584416712,0.9172457359444094,0.8531139835487661,0.9918032786885246,0.7868411368539915,0.9506533184561723,0.895,0.5829609770628537,0.86072981829014,0.9436997319034852,0.8979591836734694,0.9943502824858758,0.8536600343895849,0.9772694982863879
8,0.5899575352668762,0.5,0.7175792507204611,0.6371123336133478,0.7546117609190837,0.8079937304075235,0.9476102941176471,0.7042349726775956,0.8310648680257295,0.9638900563372937,0.7275,0.619649135050728,0.7756024984515533,0.8221859706362153,0.972972972972973,0.711864406779661,0.8376934414148858,0.9759148510682785
9,0.6513825058937073,0.5,0.2576368876080692,0.25558904496552903,0.22874205295948055,0.21654501216545013,0.9888888888888889,0.12158469945355191,0.805653015546549,0.9514260491747817,0.235,0.23498087452186306,0.23792619815495386,0.23880597014925373,1.0,0.13559322033898305,0.8559936133628101,0.9781633094374201
10,0.7056844830513,0.5,0.17406340057636888,0.15795097582659498,0.0778587977995939,0.04147157190635452,1.0,0.02117486338797814,0.8117753513600712,0.9561666948523476,0.1325,0.1241741808062898,0.05842155743032199,0.038781163434903045,1.0,0.01977401129943503,0.8620117907148122,0.9792930283838521
11,0.7022264003753662,0.5,0.1729106628242075,0.15650035691768127,0.07560161746939288,0.03884795713328868,1.0,0.01980874316939891,0.8163526102474139,0.9595145072847824,0.13,0.1212121212121212,0.05354545454545454,0.03333333333333333,1.0,0.01694915254237288,0.7839597150577253,0.9640346603152539
12,0.6682336926460266,0.5,0.22997118155619597,0.22470445946452178,0.1807660017346803,0.16080402010050251,1.0,0.08743169398907104,0.8157980965055552,0.9588122285981144,0.1825,0.18065134459624527,0.15068366752485296,0.14173228346456693,1.0,0.07627118644067797,0.8408867600098255,0.9765487667307718
13,0.6185262203216553,0.5,0.43746397694524497,0.42676780670373204,0.4806097100713475,0.5050709939148073,0.9803149606299213,0.3401639344262295,0.8072459822958886,0.9560828225041857,0.41,0.3902439024390244,0.47475609756097564,0.5,1.0,0.3333333333333333,0.822647998034881,0.972736184056252
14,0.5884003043174744,0.5,0.6109510086455331,0.5577023522360461,0.6632266829611592,0.711168164313222,0.9518900343642611,0.5676229508196722,0.79920049200492,0.9554393326890753,0.5625,0.4920137301431796,0.6377168919948621,0.6812386156648452,0.958974358974359,0.5282485875706214,0.765352493244903,0.9631531855710844
15,0.595512330532074,0.5,0.6922190201729107,0.5872360331462175,0.7303728371723259,0.7954022988505747,0.9057591623036649,0.7090163934426229,0.7639082128526202,0.9456424399020844,0.725,0.5819239101516476,0.770246284823838,0.8264984227129337,0.9357142857142857,0.7401129943502824,0.7783714075165806,0.9644497768145794
16,0.5989596843719482,0.5,0.7648414985590778,0.6191933276525421,0.7811302035998833,0.8547008547008547,0.8928571428571429,0.819672131147541,0.7687879337809772,0.9496293934848679,0.7775,0.5937881536758749,0.8041348029986649,0.866965620328849,0.9206349206349206,0.8192090395480226,0.7635716040284941,0.9627245596506298
17,0.6107040047645569,0.5,0.7809798270893372,0.622091023730368,0.7905837725368126,0.8671328671328671,0.8882521489971347,0.8469945355191257,0.758728550400258,0.9464279670454412,0.7925,0.6164465855659146,0.8165368130408162,0.8763040238450075,0.9274447949526814,0.8305084745762712,0.7875214934905428,0.9666386394277773
18,0.5938827395439148,0.5,0.7976945244956772,0.6486608108692831,0.806003483750954,0.8774869109947644,0.8972162740899358,0.8586065573770492,0.7862752807855947,0.952007545274892,0.8125,0.6298078702846778,0.8300540480509384,0.8898678414096917,0.926605504587156,0.8559322033898306,0.8055760255465487,0.9702841973935359
19,0.5654711723327637,0.5,0.8034582132564841,0.6864056184986418,0.8181450010893078,0.8779964221824686,0.9218632607062359,0.8381147540983607,0.818817675881677,0.959559121990411,0.7925,0.6301865775549986,0.8188376496797549,0.8751879699248121,0.9356913183279743,0.8220338983050848,0.8278064357651683,0.9731426401651028
20,0.5582246780395508,0.5,0.7613832853025937,0.6643090549488349,0.7884350536755597,0.8448275862068966,0.936046511627907,0.769808743169399,0.8263540217369387,0.9612060969592614,0.7875,0.6530576842620843,0.8193558097531607,0.8690292758089369,0.9559322033898305,0.7966101694915254,0.8426676492262343,0.9753424186277428
21,0.5546742677688599,0.5,0.7118155619596542,0.6361987868540064,0.7502453262990604,0.8020585906571654,0.9538606403013182,0.6919398907103825,0.827523541628859,0.9621881756575833,0.7175,0.6141731611339212,0.7679155107510819,0.8138385502471169,0.9762845849802372,0.6977401129943502,0.8801891427167772,0.981792111222624
