,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,87,15,2,0,5,5
implicit_mmr,29,16,4,5,1,4
multi_method_not_mmr,9,4,9,15,6,8
no_method_signal,2,3,5,33,3,10
qual_only,8,7,5,7,11,2
quant_only,9,5,11,9,2,18
