model,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
text_hgt,target_integration_binary,split_cross_program_cluster_safe,train,2228,28,0.7514066496163683,42,0.7217235188509874,0.7154041402953586,0.7143382210209153,0.6580732700135685,0.8931860036832413,0.7578125,0.8003409900887912,0.7411427925107715,
text_hgt,target_integration_binary,split_cross_program_cluster_safe,validation,54,28,0.7514066496163683,42,0.8333333333333334,0.7514066496163683,0.8465473145780051,0.5,0.7777777777777778,0.6086956521739131,0.7925925925925926,0.4977108247223189,
text_hgt,target_integration_binary,split_cross_program_cluster_safe,test,218,28,0.7514066496163683,42,0.7155963302752294,0.6905677655677656,0.7260921799912625,0.5164835164835165,0.7230769230769231,0.6025641025641025,0.7917546505781801,0.5646964091482973,
