split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
train,0.9904534606205251,0.9882830705750026,0.9832402234636871,0.9805013927576601,0.9859943977591037,0.9990196078431373,0.9981304510751547
validation,0.8410404624277457,0.8397541156161845,0.8541114058355438,0.875,0.8341968911917098,0.9307121812455552,0.9505587159856465
test,0.802675585284281,0.7691119691119691,0.8571428571428571,0.8441971383147854,0.8704918032786885,0.9053978408636544,0.9588805908441181
