result_dir,accuracy,split_folder,model_family,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,model,target,split_col,task_type,train_rows,validation_rows,test_rows,embedding_file,embedding_missing_train,embedding_missing_test,threshold,threshold_validation_score
node2vec/integration_binary/cold_start_pi_cluster_safe,0.5424657534246575,integration_binary,cold_start_pi_cluster_safe,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,dummy,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_pi_cluster_safe,0.5863013698630137,integration_binary,cold_start_pi_cluster_safe,0.5845049717675972,0.5868253193075101,0.5459770114942529,0.5688622754491018,0.5571847507331378,0.635789028004597,0.6112298941739404,emb_lr,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_pi_cluster_safe,0.5808219178082191,integration_binary,cold_start_pi_cluster_safe,0.5790017263605455,0.5813528069804573,0.5402298850574713,0.562874251497006,0.5513196480938416,0.6371196999939515,0.6120561600277858,emb_svm,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_pi_cluster_safe,0.5917808219178082,integration_binary,cold_start_pi_cluster_safe,0.5796523446255633,0.5857165832716857,0.5661764705882353,0.4610778443113772,0.5082508250825083,0.6254763200870985,0.5827988026256041,emb_rf,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_pi_cluster_safe,0.6082191780821918,integration_binary,cold_start_pi_cluster_safe,0.5973384763741563,0.6029601722566412,0.5869565217391305,0.4850299401197604,0.5311475409836065,0.6458597955603944,0.5940319020248627,emb_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_institution_cluster_safe,0.5526315789473685,integration_binary,cold_start_institution_cluster_safe,0.3559322033898305,0.3933987511150758,0.0,0.0,0.0,0.5,0.4473684210526316,dummy,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_institution_cluster_safe,0.5964912280701754,integration_binary,cold_start_institution_cluster_safe,0.5705863085489682,0.5816884169151999,0.5714285714285714,0.392156862745098,0.4651162790697674,0.5608465608465609,0.5034101702366625,emb_lr,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_institution_cluster_safe,0.5877192982456141,integration_binary,cold_start_institution_cluster_safe,0.5591937474290416,0.5709974236290025,0.5588235294117647,0.3725490196078431,0.4470588235294118,0.5596016184251479,0.5031869357426664,emb_svm,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_institution_cluster_safe,0.5789473684210527,integration_binary,cold_start_institution_cluster_safe,0.5558441558441558,0.5665071770334928,0.5405405405405406,0.392156862745098,0.4545454545454545,0.6305633364456893,0.619978139045165,emb_rf,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/cold_start_institution_cluster_safe,0.631578947368421,integration_binary,cold_start_institution_cluster_safe,0.6079266295447101,0.6180633371834434,0.6285714285714286,0.4313725490196078,0.5116279069767442,0.6352318705259882,0.6132275508541551,emb_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/edu_to_eng_cluster_safe,0.6228070175438597,integration_binary,edu_to_eng_cluster_safe,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,dummy,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/edu_to_eng_cluster_safe,0.5935672514619883,integration_binary,edu_to_eng_cluster_safe,0.5892655025531583,0.5995896999343502,0.4719101123595505,0.6511627906976745,0.5472312703583062,0.6314008079484661,0.4950300554497835,emb_lr,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
