result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
integration_binary/cold_start_pi_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,cold_start_pi_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7698630136986301,0.7692377167630058,0.7702579380790244,0.7572254335260116,0.7318435754189944,0.7844311377245509,0.8313070828040888,0.7338864841894157,1735,400,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/dummy,integration_binary,cold_start_institution_cluster_safe,late_fusion,dummy,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.5526315789473685,0.3559322033898305,0.3933987511150758,0.0,0.0,0.0,0.5,0.4473684210526316,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_lr,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7105263157894737,0.706712403523817,0.7102329379228848,0.6732673267326733,0.68,0.6666666666666666,0.7675070028011204,0.7303359547070072,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_svm,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.6842105263157895,0.6793750000000001,0.6835197368421053,0.64,0.6530612244897959,0.6274509803921569,0.7416744475568005,0.6710152866612457,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_mlp,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7894736842105263,0.7878411910669976,0.789800182839232,0.7692307692307693,0.7547169811320755,0.7843137254901961,0.8478057889822596,0.8150356041797477,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7894736842105263,0.7852433281004709,0.7884160951830125,0.7551020408163265,0.7872340425531915,0.7254901960784313,0.8705259881730469,0.8463939888194062,2253,133,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/dummy,integration_binary,edu_to_eng_cluster_safe,late_fusion,dummy,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_lr,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.672514619883041,0.6613861386138613,0.676463435817266,0.6,0.5562913907284768,0.6511627906976745,0.7525202896968374,0.6776430689011463,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_svm,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.6052631578947368,0.5955499102098024,0.6109444914463023,0.532871972318339,0.48125,0.5968992248062015,0.6720165956982203,0.5612509395548595,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_mlp,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.7573099415204678,0.7413317052278589,0.7571219622699666,0.6770428015564203,0.6796875,0.6744186046511628,0.8110419623685263,0.7212257581323162,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.7573099415204678,0.7351137986058621,0.7539468895637095,0.6584362139917695,0.7017543859649122,0.6201550387596899,0.8176656840266404,0.6781162265729349,1841,317,2,,
design_binary/random_cluster_stratified/late_fusion/dummy,design_binary,random_cluster_stratified,late_fusion,dummy,target_design_binary,split_random_cluster_stratified,374,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_lr,design_binary,random_cluster_stratified,late_fusion,fusion_lr,target_design_binary,split_random_cluster_stratified,374,0.8262032085561497,0.6917595445496849,0.8343678035362994,0.895330112721417,0.9174917491749176,0.8742138364779874,0.8004267744833782,0.9575174194202284,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_svm,design_binary,random_cluster_stratified,late_fusion,fusion_svm,target_design_binary,split_random_cluster_stratified,374,0.8155080213903744,0.6643121951219512,0.8221341332985521,0.8896,0.9055374592833876,0.8742138364779874,0.7865004492362982,0.9542099079319848,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_mlp,design_binary,random_cluster_stratified,late_fusion,fusion_mlp,target_design_binary,split_random_cluster_stratified,374,0.8770053475935828,0.7345061728395061,0.8707645078233314,0.9290123456790124,0.912121212121212,0.9465408805031448,0.8543912848158132,0.970556283733021,1750,376,2,,
