result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/temporal_cluster_safe/text_metadata/metadata_extra_trees,integration_binary,temporal_cluster_safe,text_metadata,0.6822742474916388,0.6611428715339864,0.6916135609729227,0.7457627118644068,0.8180039138943248,0.6852459016393443,0.7211886673901867,0.8264701715286432,metadata_extra_trees,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/text_metadata,integration_binary,cross_program_cluster_safe,text_metadata,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,dummy,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
integration_binary/cross_program_cluster_safe/text_metadata,integration_binary,cross_program_cluster_safe,text_metadata,0.7844036697247706,0.6787987084234616,0.7531446011795833,0.4946236559139785,0.8214285714285714,0.3538461538461538,0.6945701357466063,0.6242786072689409,metadata_lr,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
integration_binary/cross_program_cluster_safe/text_metadata,integration_binary,cross_program_cluster_safe,text_metadata,0.6926605504587156,0.6128091615194974,0.6837881739099136,0.4369747899159664,0.4814814814814814,0.4,0.6072900955253896,0.5411188376485351,metadata_svm,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
integration_binary/cross_program_cluster_safe/text_metadata,integration_binary,cross_program_cluster_safe,text_metadata,0.7844036697247706,0.7012740896236042,0.7648862900488446,0.5436893203883495,0.7368421052631579,0.4307692307692308,0.7172951231774761,0.631941060513266,metadata_mlp,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
integration_binary/cross_program_cluster_safe/text_metadata,integration_binary,cross_program_cluster_safe,text_metadata,0.7660550458715596,0.702113977976047,0.757825007429563,0.5641025641025641,0.6346153846153846,0.5076923076923077,0.7433383609854198,0.6453407353784901,metadata_extra_trees,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,777.0,768.0,9.0,,,
integration_binary/cross_program_cluster_safe/text_metadata/dummy,integration_binary,cross_program_cluster_safe,text_metadata,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,dummy,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/text_metadata/metadata_lr,integration_binary,cross_program_cluster_safe,text_metadata,0.7844036697247706,0.6787987084234616,0.7531446011795833,0.4946236559139785,0.8214285714285714,0.3538461538461538,0.6945701357466063,0.6242786072689409,metadata_lr,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/text_metadata/metadata_svm,integration_binary,cross_program_cluster_safe,text_metadata,0.6926605504587156,0.6128091615194974,0.6837881739099136,0.4369747899159664,0.4814814814814814,0.4,0.6072900955253896,0.5411188376485351,metadata_svm,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/text_metadata/metadata_mlp,integration_binary,cross_program_cluster_safe,text_metadata,0.7844036697247706,0.7012740896236042,0.7648862900488446,0.5436893203883495,0.7368421052631579,0.4307692307692308,0.7172951231774761,0.631941060513266,metadata_mlp,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/text_metadata/metadata_extra_trees,integration_binary,cross_program_cluster_safe,text_metadata,0.7660550458715596,0.702113977976047,0.757825007429563,0.5641025641025641,0.6346153846153846,0.5076923076923077,0.7433383609854198,0.6453407353784901,metadata_extra_trees,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.5424657534246575,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,dummy,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,777.0,768.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.6876712328767123,0.681452106810387,0.6852323599095259,0.6369426751592356,0.6802721088435374,0.5988023952095808,0.7551261114135367,0.7415062832817152,metadata_lr,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,777.0,768.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.6986301369863014,0.6976292324376431,0.6991067581999482,0.6802325581395349,0.6610169491525424,0.7005988023952096,0.7604790419161678,0.7422300849967797,metadata_svm,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,777.0,768.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.7041095890410959,0.6924733196030706,0.6975539442872788,0.6326530612244898,0.7322834645669292,0.5568862275449101,0.7778080203229903,0.7625579436635417,metadata_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,777.0,768.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.7397260273972602,0.737169234967293,0.7393709173375426,0.7112462006079028,0.7222222222222222,0.7005988023952096,0.819406641262929,0.7516033003273349,metadata_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,777.0,768.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata/dummy,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.5424657534246575,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,dummy,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata/metadata_lr,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.6876712328767123,0.681452106810387,0.6852323599095259,0.6369426751592356,0.6802721088435374,0.5988023952095808,0.7551261114135367,0.7415062832817152,metadata_lr,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata/metadata_svm,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.6986301369863014,0.6976292324376431,0.6991067581999482,0.6802325581395349,0.6610169491525424,0.7005988023952096,0.7604790419161678,0.7422300849967797,metadata_svm,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata/metadata_mlp,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.7041095890410959,0.6924733196030706,0.6975539442872788,0.6326530612244898,0.7322834645669292,0.5568862275449101,0.7778080203229903,0.7625579436635417,metadata_mlp,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/text_metadata/metadata_extra_trees,integration_binary,cold_start_pi_cluster_safe,text_metadata,0.7397260273972602,0.737169234967293,0.7393709173375426,0.7112462006079028,0.7222222222222222,0.7005988023952096,0.819406641262929,0.7516033003273349,metadata_extra_trees,,,binary,,,,,,,,,
