result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/temporal_cluster_safe/metadata_only/metadata_extra_trees,integration_binary,temporal_cluster_safe,metadata_only,0.5451505016722408,0.5339595154898585,0.5599644689928045,0.6061776061776062,0.7370892018779343,0.5147540983606558,0.5758896441423431,0.7193720633396523,metadata_extra_trees,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/metadata_only,integration_binary,cross_program_cluster_safe,metadata_only,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,dummy,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,9.0,0.0,9.0,,,
integration_binary/cross_program_cluster_safe/metadata_only,integration_binary,cross_program_cluster_safe,metadata_only,0.6788990825688074,0.5253203931815353,0.6343117211337929,0.2553191489361702,0.4137931034482758,0.1846153846153846,0.5332830568124686,0.328869445042909,metadata_lr,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,9.0,0.0,9.0,,,
integration_binary/cross_program_cluster_safe/metadata_only,integration_binary,cross_program_cluster_safe,metadata_only,0.6100917431192661,0.5233440514469453,0.605427888728281,0.32,0.3333333333333333,0.3076923076923077,0.5352941176470588,0.3232194090910524,metadata_svm,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,9.0,0.0,9.0,,,
integration_binary/cross_program_cluster_safe/metadata_only,integration_binary,cross_program_cluster_safe,metadata_only,0.3944954128440367,0.3857581967213115,0.3561860806136261,0.4590163934426229,0.3128491620111732,0.8615384615384616,0.5838612368024134,0.3735835567431296,metadata_mlp,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,9.0,0.0,9.0,,,
integration_binary/cross_program_cluster_safe/metadata_only,integration_binary,cross_program_cluster_safe,metadata_only,0.7018348623853211,0.5922888792979427,0.6775990254190869,0.3809523809523809,0.5,0.3076923076923077,0.6263448969331322,0.4055229251438508,metadata_extra_trees,target_integration_binary,split_cross_program_cluster_safe,binary,2228.0,54.0,218.0,9.0,0.0,9.0,,,
integration_binary/cross_program_cluster_safe/metadata_only/dummy,integration_binary,cross_program_cluster_safe,metadata_only,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,dummy,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/metadata_only/metadata_lr,integration_binary,cross_program_cluster_safe,metadata_only,0.6788990825688074,0.5253203931815353,0.6343117211337929,0.2553191489361702,0.4137931034482758,0.1846153846153846,0.5332830568124686,0.328869445042909,metadata_lr,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/metadata_only/metadata_svm,integration_binary,cross_program_cluster_safe,metadata_only,0.6100917431192661,0.5233440514469453,0.605427888728281,0.32,0.3333333333333333,0.3076923076923077,0.5352941176470588,0.3232194090910524,metadata_svm,,,binary,,,,,,,,,
integration_binary/cross_program_cluster_safe/metadata_only/metadata_mlp,integration_binary,cross_program_cluster_safe,metadata_only,0.3944954128440367,0.3857581967213115,0.3561860806136261,0.4590163934426229,0.3128491620111732,0.8615384615384616,0.5838612368024134,0.3735835567431296,metadata_mlp,,,binary,,,,,,,,,
