source_metrics_path,target,split_col,run_family,model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc,weighted_f1
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,regex,test,0.1753424657534246,0.1620331174824001,0.0564263322884012,1.0,0.0290322580645161,0.5145161290322581,0.8536897923110914,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,tfidf_lr,train,0.9613832853025936,0.9332825972293726,0.9765816148199932,1.0,0.9542349726775956,0.9991606678361864,0.999845021377026,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,tfidf_lr,validation,0.8875,0.7715011107584894,0.9343065693430656,0.9667673716012084,0.903954802259887,0.9258781626136084,0.99014376495388,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,tfidf_lr,test,0.8821917808219178,0.7924628099173554,0.9289256198347108,0.952542372881356,0.9064516129032258,0.9289149560117302,0.9875717876570476,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,tfidf_svm,validation,0.89,0.7191011235955056,0.9382022471910112,0.9329608938547486,0.943502824858757,0.9312208302628346,0.9909537752947208,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,tfidf_svm,test,0.8712328767123287,0.7299658423712005,0.9252782193958664,0.9122257053291536,0.9387096774193548,0.9306744868035188,0.987970426616459,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,frozen_embedding_lr,train,0.94178674351585,0.9033660179917272,0.9642983386355602,0.9992673992673992,0.9316939890710384,0.9842190430101022,0.9973355857378844,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,frozen_embedding_lr,validation,0.8275,0.6811423422174471,0.8971684053651267,0.9495268138801262,0.8502824858757062,0.850773765659543,0.9737971491879658,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,frozen_embedding_lr,test,0.7917808219178082,0.64000207641196,0.8737541528239202,0.9006849315068494,0.8483870967741935,0.769032258064516,0.9400263276013394,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,frozen_embedding_mlp,train,0.9746397694524496,0.9494303126656068,0.9851351351351352,0.9745989304812834,0.9959016393442623,0.994316234145948,0.998914980750888,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,frozen_embedding_mlp,validation,0.9125,0.7224370031126708,0.9521203830369356,0.9230769230769232,0.9830508474576272,0.8796978629329404,0.9814621500963404,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cold_start_pi_cluster_safe/classical/metrics_summary.csv,design_binary,cold_start_pi_cluster_safe,classical,frozen_embedding_mlp,test,0.8575342465753425,0.635,0.92,0.8794117647058823,0.964516129032258,0.8315542521994135,0.96615385579204,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,regex,train,0.1741472172351885,0.1674383994748967,0.0927021696252465,0.9894736842105264,0.0486290739782721,0.5226196217348988,0.8735211387197274,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,regex,validation,0.2222222222222222,0.1818181818181818,0.0,0.0,0.0,0.5,0.7777777777777778,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,regex,test,0.3165137614678899,0.2584526174006347,0.0509554140127388,1.0,0.0261437908496732,0.5130718954248366,0.7096300293817833,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,tfidf_lr,train,0.9573608617594256,0.918060805958651,0.9748077433041632,1.0,0.9508535954474908,0.9991635027664032,0.9998721675548627,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,tfidf_lr,validation,0.7407407407407407,0.676923076923077,0.8205128205128205,0.8888888888888888,0.7619047619047619,0.8035714285714286,0.9446191632720414,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,tfidf_lr,test,0.7614678899082569,0.7175039872408293,0.8289473684210527,0.8344370860927153,0.8235294117647058,0.8390145801910507,0.932222460041484,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,tfidf_svm,train,0.9991023339317774,0.9980520116389682,0.9994824016563147,1.0,0.9989653388515262,1.0,1.0,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,tfidf_svm,validation,0.7037037037037037,0.5947467166979362,0.8048780487804879,0.825,0.7857142857142857,0.7996031746031746,0.9401304311481656,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,tfidf_svm,test,0.7798165137614679,0.7081985499163412,0.852760736196319,0.8034682080924855,0.9084967320261438,0.8377073906485671,0.9308273367664964,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,frozen_embedding_lr,train,0.9290843806104128,0.8722601303148138,0.9574582660204632,0.9983155530600786,0.9198137609932748,0.9801888695011708,0.9971502318258468,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,frozen_embedding_lr,validation,0.6851851851851852,0.5993016150152771,0.7848101265822784,0.8378378378378378,0.7380952380952381,0.6646825396825397,0.8902863618387825,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,frozen_embedding_lr,test,0.7247706422018348,0.6866915780396665,0.7959183673469388,0.8297872340425532,0.7647058823529411,0.7536450477626949,0.8798762836697533,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,frozen_embedding_mlp,train,0.9789048473967684,0.953075294354884,0.9878897191445504,0.9840862422997948,0.991722710812209,0.9903460853858496,0.9983849497029278,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,frozen_embedding_mlp,validation,0.7777777777777778,0.6,0.8666666666666667,0.8125,0.9285714285714286,0.7460317460317462,0.9206577001642688,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/cross_program_cluster_safe/classical/metrics_summary.csv,design_binary,cross_program_cluster_safe,classical,frozen_embedding_mlp,test,0.7522935779816514,0.6393382352941177,0.8411764705882353,0.7647058823529411,0.934640522875817,0.7909502262443439,0.907141611754872,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,regex,train,0.1759259259259259,0.166523996878367,0.0780012187690432,0.9846153846153848,0.0406091370558375,0.5183814916048418,0.8635137928658382,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,regex,validation,0.1925465838509316,0.1854763387297633,0.1095890410958904,1.0,0.0579710144927536,0.5289855072463768,0.865424430641822,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,regex,test,0.2456140350877192,0.2304552590266876,0.1224489795918367,1.0,0.0652173913043478,0.532608695652174,0.8196033562166285,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,tfidf_lr,train,0.9553376906318084,0.9185386388477064,0.9732899022801303,1.0,0.9479695431472082,0.9991434010152284,0.999858312489204,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,tfidf_lr,validation,0.8664596273291926,0.734522097593711,0.9216757741347904,0.9267399267399268,0.9166666666666666,0.9247794580970384,0.9873829208735546,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,tfidf_lr,test,0.8450292397660819,0.7768915475794838,0.9001883239171374,0.9372549019607844,0.8659420289855072,0.908102766798419,0.9758693915248562,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
/home/jovyan/MethodKG_Clean/experiments/text_only/text_only_all/design_binary/edu_to_eng_cluster_safe/classical/metrics_summary.csv,design_binary,edu_to_eng_cluster_safe,classical,tfidf_svm,validation,0.8850931677018633,0.7330794219782681,0.9345132743362832,0.9134948096885812,0.9565217391304348,0.9198172652804032,0.9864890819012152,
