,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,110,0,0,0,0,0
true_implicit_mmr,57,0,0,0,0,0
true_multi_method_not_mmr,59,0,0,0,0,0
true_no_method_signal,55,0,0,0,0,0
true_qual_only,31,0,0,0,0,0
true_quant_only,53,0,0,0,0,0
