,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,41,0,0,1,0,8
true_implicit_mmr,10,0,0,0,0,5
true_multi_method_not_mmr,32,0,0,1,0,5
true_no_method_signal,52,1,1,4,0,7
true_qual_only,8,0,0,0,0,0
true_quant_only,35,0,0,1,0,6
