model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_integration_binary,split_temporal_cluster_safe,897,0.31995540691192864,0.24239864864864866,0.15511351652656,0.0,0.0,0.0,0.5,0.6800445930880713,1257,346,2
fusion_lr,target_integration_binary,split_temporal_cluster_safe,897,0.6889632107023411,0.6467751291797281,0.6907323883145796,0.7688483844241922,0.7772194304857621,0.760655737704918,0.7028103044496488,0.8094714212724045,1257,346,2
fusion_svm,target_integration_binary,split_temporal_cluster_safe,897,0.6633221850613155,0.6295051205742046,0.6698110682839346,0.7414383561643836,0.7759856630824373,0.7098360655737705,0.6856685897069743,0.8006150630127553,1257,346,2
fusion_mlp,target_integration_binary,split_temporal_cluster_safe,897,0.7346711259754738,0.680624371678874,0.7279335902095019,0.8120063191153238,0.7835365853658537,0.8426229508196721,0.7243673958987833,0.8123050754176554,1257,346,2
fusion_extra_trees,target_integration_binary,split_temporal_cluster_safe,897,0.6989966555183946,0.6706869357119547,0.7054551467289892,0.7672413793103449,0.8090909090909091,0.7295081967213115,0.7462043753927,0.8474823434712182,1257,346,2
