epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.7964425683021545,0.47969924812030074,0.9219653179190751,0.8845321395975487,0.9219653179190751,1.0,0.9593984962406015,0.8228259607569952,0.9830381194083886,
2,1.0666695833206177,0.5141207676704634,0.9219653179190751,0.8898009212117716,0.9244186046511628,0.9968652037617555,0.9592760180995475,0.7739463601532569,0.975647968579784,
3,0.719092845916748,0.07238605898123325,0.07803468208092486,0.011297246199383224,0.0,0.0,0.0,0.70242656449553,0.9654404498109508,
4,0.7394526600837708,0.07238605898123325,0.07803468208092486,0.011297246199383224,0.0,0.0,0.0,0.7233252060838268,0.9681960221738013,
5,0.742521345615387,0.07238605898123325,0.07803468208092486,0.011297246199383224,0.0,0.0,0.0,0.7679089748055266,0.9745439678158999,
6,0.7125309705734253,0.25837251662642435,0.26878612716763006,0.33253774291988925,0.9852941176470589,0.21003134796238246,0.3462532299741602,0.783815163125508,0.9768540925791571,
7,0.6904405355453491,0.5470292044310171,0.9248554913294798,0.896159823970103,0.9271137026239067,0.9968652037617555,0.9607250755287009,0.7933356554046208,0.9786284647456607,
8,0.6780821084976196,0.47969924812030074,0.9219653179190751,0.8845321395975487,0.9219653179190751,1.0,0.9593984962406015,0.7715081853012887,0.9757521084898497,
9,0.6740344166755676,0.47969924812030074,0.9219653179190751,0.8845321395975487,0.9219653179190751,1.0,0.9593984962406015,0.7301753163822128,0.9706193471612725,
10,0.6933499574661255,0.47969924812030074,0.9219653179190751,0.8845321395975487,0.9219653179190751,1.0,0.9593984962406015,0.6987112504353883,0.9669065790979793,
11,0.6794531941413879,0.47969924812030074,0.9219653179190751,0.8845321395975487,0.9219653179190751,1.0,0.9593984962406015,0.6649251132009754,0.9633779718613675,
12,0.6608522534370422,0.47969924812030074,0.9219653179190751,0.8845321395975487,0.9219653179190751,1.0,0.9593984962406015,0.657494485080692,0.9630540102432951,
13,0.6682994365692139,0.5067825447188118,0.9104046242774566,0.8833245486521162,0.9235294117647059,0.9843260188087775,0.952959028831563,0.6453036108208521,0.9618371614302155,
14,0.6599473357200623,0.5415551687407446,0.8526011560693642,0.8602408820739267,0.9294871794871795,0.9090909090909091,0.919175911251981,0.6367119470567747,0.9610128348296438,
