,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,80,10,5,1,7,7
implicit_mmr,27,5,5,4,5,11
multi_method_not_mmr,14,5,9,16,3,12
no_method_signal,4,2,11,25,5,8
qual_only,10,3,2,1,8,7
quant_only,13,11,7,9,1,12
