epoch,loss,threshold,train_accuracy,train_macro_f1,train_weighted_f1,train_positive_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,val_accuracy,val_macro_f1,val_weighted_f1,val_positive_f1,val_precision,val_recall,val_roc_auc,val_pr_auc
1,0.7019984126091003,0.5,0.7851690294438386,0.527789104976997,0.7775654866235479,0.8764115432873275,0.8655514250309789,0.8875476493011436,0.512992376111817,0.8575298415322152,0.7839506172839507,0.5113332758769283,0.7726854378869662,0.8763250883392226,0.8611111111111112,0.8920863309352518,0.509696590553644,0.8480598592542107
2,2.452458620071411,0.5,0.14176663031624864,0.12416427889207259,0.0352047028483521,0.0,0.0,0.0,0.6699320692014467,0.9203344741890493,0.1419753086419753,0.12432432432432433,0.03530196863530197,0.0,0.0,0.0,0.5967313106036909,0.8942984437748349
3,0.5895885229110718,0.5,0.722464558342421,0.6155986472124183,0.7608125119743866,0.8182791860049982,0.9339853300733496,0.7280813214739518,0.778782621444629,0.9499198570146384,0.6481481481481481,0.5308641975308641,0.6988263984148757,0.7654320987654321,0.8942307692307693,0.6690647482014388,0.685877385048483,0.9366679913911236
4,1.2474576234817505,0.5,0.8582333696837514,0.4618544600938967,0.7927578191797093,0.9237089201877934,0.8582333696837514,1.0,0.6557582347766591,0.9208605723286183,0.8580246913580247,0.46179401993355484,0.7924613428489398,0.9235880398671097,0.8580246913580247,1.0,0.6043165467625897,0.8956587302651564
5,1.113358974456787,0.5,0.8582333696837514,0.4618544600938967,0.7927578191797093,0.9237089201877934,0.8582333696837514,1.0,0.6988722998729352,0.9323472248298212,0.8580246913580247,0.46179401993355484,0.7924613428489398,0.9235880398671097,0.8580246913580247,1.0,0.6283234282139505,0.9131758209607266
6,0.7978782653808594,0.5,0.861504907306434,0.48876646180860406,0.8015240080309212,0.9252941176470588,0.8614457831325302,0.9993646759847522,0.7592317466523311,0.948177026708013,0.8641975308641975,0.505,0.8069341563786008,0.9266666666666666,0.8633540372670807,1.0,0.6449014701282452,0.9206566816932256
7,0.5959369540214539,0.5,0.8347873500545256,0.6705059082815554,0.8371976569222372,0.9031639501438159,0.9086816720257235,0.897712833545108,0.8172661518913107,0.9625620039342018,0.8425925925925926,0.6614420062695925,0.838770850265103,0.9090909090909091,0.901060070671378,0.9172661870503597,0.7635283077885517,0.9501079837551205
8,0.6254451274871826,0.5,0.3893129770992366,0.3819631743831005,0.43025137822811493,0.44936086529006886,0.9934782608695653,0.2903430749682338,0.8079610986218356,0.9616665672259697,0.35185185185185186,0.3476510067114094,0.3851354710415113,0.4,0.9722222222222222,0.2517985611510791,0.7599311854863935,0.9466385161629225
9,0.7262551784515381,0.5,0.15866957470010906,0.14534469506495545,0.0688866520929388,0.038629283489096576,1.0,0.019695044472681066,0.7952106343465937,0.9539630763425297,0.15123456790123457,0.13601675603867075,0.05391135250111722,0.021352313167259787,1.0,0.01079136690647482,0.8098999061620268,0.9595061475429605
10,0.7416039705276489,0.5,0.15703380588876772,0.14332519974426933,0.06568249080517065,0.03495630461922597,1.0,0.017789072426937738,0.8120821522822793,0.9621241829828119,0.15432098765432098,0.13986745727241018,0.06002890849614098,0.028368794326241134,1.0,0.014388489208633094,0.796684391617141,0.9547481302271243
11,0.6608568429946899,0.5,0.2633587786259542,0.26305883640618444,0.2524068343311174,0.24819143016138007,1.0,0.14167725540025414,0.8375085524386667,0.9691332275901179,0.25308641975308643,0.252374232426866,0.23585148645855258,0.22929936305732485,1.0,0.12949640287769784,0.799890522364717,0.9616538465141049
12,0.5709601640701294,0.5,0.5463467829880043,0.5089692101740295,0.6060327095368023,0.6444444444444445,0.9843342036553525,0.47903430749682335,0.8519157462613625,0.9715805097029699,0.5,0.4724824120603015,0.5587537688442211,0.592964824120603,0.9833333333333333,0.4244604316546763,0.8113856740694401,0.9637536743721581
13,0.5436864495277405,0.5,0.8058887677208287,0.6871051098024782,0.8252305314880647,0.8798920377867746,0.9381294964028777,0.8284625158831004,0.8500757501710487,0.971818537991963,0.7716049382716049,0.6397836538461539,0.7958170109211775,0.8576923076923076,0.9214876033057852,0.802158273381295,0.7754144510478573,0.952426714362861
14,0.583017110824585,0.5,0.8505997818974919,0.678408695296021,0.8470071213722749,0.913727959697733,0.9057428214731585,0.9218551461245235,0.8293764050434952,0.965922177512812,0.8641975308641975,0.6862676056338028,0.8554468788036863,0.9225352112676056,0.903448275862069,0.9424460431654677,0.7935564591804818,0.9571849681878073
15,0.5941503047943115,0.5,0.8500545256270448,0.6601220420307093,0.8421579891099104,0.9141965678627145,0.8982219497240956,0.9307496823379924,0.8205258528003128,0.96447229718162,0.845679012345679,0.6434859154929577,0.8357350895496435,0.9119718309859155,0.8931034482758621,0.9316546762589928,0.7900375351892399,0.9580757867834246
16,0.5528268218040466,0.5,0.8435114503816794,0.6935265713984606,0.8471354030305335,0.9079242861726019,0.9170447180816591,0.8989834815756036,0.8456358127260286,0.9685736183342246,0.8703703703703703,0.7386896074967355,0.871515420482315,0.924187725631769,0.927536231884058,0.920863309352518,0.8665154832655616,0.9750046652120932
17,0.5233705043792725,0.5,0.7791712104689203,0.667454189158515,0.8055503001668617,0.8602002071108042,0.9417989417989417,0.7916137229987293,0.8423541198318836,0.9689232804185365,0.7438271604938271,0.6199064324179163,0.7753097238428424,0.8369351669941061,0.922077922077922,0.7661870503597122,0.8014544885830466,0.9618189645904122
18,0.5199387669563293,0.5,0.6913849509269356,0.6138045264060193,0.7378199495452944,0.7868975903614458,0.9658040665434381,0.6639135959339263,0.8489737073599845,0.9711411389327207,0.691358024691358,0.6099768875192604,0.7375473187620081,0.788135593220339,0.9587628865979382,0.6690647482014388,0.8477478886456051,0.9713362328365811
19,0.5162844657897949,0.5,0.6581243184296619,0.59480410200248,0.7095665356374001,0.7549824150058617,0.9807106598984772,0.613722998729352,0.8671073208874988,0.9735884500257869,0.6203703703703703,0.5656505106211376,0.6760418798543724,0.7198177676537585,0.9813664596273292,0.5683453237410072,0.848999061620269,0.9693706766282332
20,0.5156437754631042,0.5,0.628680479825518,0.5728592500582252,0.6834913705924976,0.7272727272727273,0.9837486457204767,0.576874205844981,0.8726493011435833,0.9762219344225563,0.6327160493827161,0.5731886865555986,0.6873237954472619,0.7325842696629213,0.9760479041916168,0.5863309352517986,0.834454175789803,0.9663364669388161
21,0.511838972568512,0.5,0.6804798255179935,0.6129631230193028,0.7287815917964301,0.7746153846153846,0.9814814814814815,0.6397712833545108,0.861655752125892,0.972876975085601,0.654320987654321,0.5903919089759797,0.7062633640804732,0.7522123893805309,0.9770114942528736,0.6115107913669064,0.8263215514544886,0.9589190942445678
22,0.48172202706336975,0.5,0.7579062159214831,0.6716490131276522,0.7922255710756243,0.839942321557318,0.9708333333333333,0.7401524777636594,0.876021405532206,0.9768052964850462,0.7314814814814815,0.649084367647242,0.770843160064717,0.8191268191268192,0.9704433497536946,0.7086330935251799,0.8279637159837347,0.9613557766727502
23,0.47182923555374146,0.5,0.7977099236641222,0.6987925832962587,0.8224627880949006,0.8714038128249567,0.9588100686498856,0.7986022871664549,0.8777074577265175,0.9767625869562138,0.75,0.6502991458685891,0.7840020253974176,0.8370221327967807,0.9497716894977168,0.7482014388489209,0.8310916484203941,0.9672304829103562
