,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,18,38,2,1,31,7
implicit_mmr,5,15,1,0,8,3
multi_method_not_mmr,1,18,9,4,9,16
no_method_signal,3,24,8,9,14,8
qual_only,4,13,1,1,22,1
quant_only,3,9,9,2,10,15
