model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.8398791540785498,0.6105450105450105,0.8335589217764443,0.3116883116883117,0.34285714285714286,0.2857142857142857,0.7320810677212061,0.3113834544556222,1852,317,2,0.8699999999999999,0.6524122807017544
fusion_svm,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.7734138972809668,0.5998355819913922,0.7965045905993048,0.336283185840708,0.2676056338028169,0.4523809523809524,0.7393310265282583,0.3139214282181217,1852,317,2,0.31999999999999995,0.6288510266491918
fusion_mlp,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.7764350453172205,0.5412421336529817,0.7863587968642347,0.2127659574468085,0.19230769230769232,0.23809523809523808,0.6934420827154391,0.21691789785352844,1852,317,2,0.18,0.6807243115825565
fusion_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.6737160120845922,0.5056422170594093,0.7207418407444878,0.21739130434782608,0.15625,0.35714285714285715,0.6847915636842973,0.18526163176422578,1852,317,2,0.15999999999999998,0.6516483516483517
