,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,36,9,1,2,1,1
implicit_mmr,4,4,0,2,2,3
multi_method_not_mmr,8,6,4,9,6,5
no_method_signal,3,4,7,27,12,12
qual_only,2,2,2,0,2,0
quant_only,10,3,7,7,4,11
