model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_random_cluster_stratified,371,0.8975741239892183,0.6330174927113703,0.9026132979183201,0.32142857142857145,0.2903225806451613,0.36,0.856878612716763,0.30835955584597513,1751,378,2,0.83,0.7414317726146951
fusion_svm,target_design_binary,split_random_cluster_stratified,371,0.9164420485175202,0.6479106076840655,0.9139556462875807,0.3404255319148936,0.36363636363636365,0.32,0.8347976878612717,0.3129783122417986,1751,378,2,0.6,0.7518177175789704
fusion_mlp,target_design_binary,split_random_cluster_stratified,371,0.8733153638814016,0.6429551364743944,0.8910948445201974,0.3561643835616438,0.2708333333333333,0.52,0.8025433526011561,0.2676786932267964,1751,378,2,0.15999999999999998,0.6919642857142857
fusion_extra_trees,target_design_binary,split_random_cluster_stratified,371,0.8975741239892183,0.6446360153256705,0.9040389957761461,0.3448275862068966,0.30303030303030304,0.4,0.849364161849711,0.2735501313383259,1751,378,2,0.15999999999999998,0.6890070248718435
