model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8273809523809523,0.5971889210417528,0.8291934880607885,0.2926829268292683,0.2857142857142857,0.3,0.6249155405405407,0.2135537151250672,1762,402,2,0.84,0.5816615598080592
fusion_svm,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.7827380952380952,0.5880070546737213,0.8038128831779625,0.3047619047619048,0.24615384615384617,0.4,0.6293074324324324,0.23795715356028102,1762,402,2,0.4499999999999999,0.5726854757117427
fusion_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8244047619047619,0.6250496491460347,0.8333553996204599,0.3516483516483517,0.3137254901960784,0.4,0.6822635135135136,0.34449073277694425,1762,402,2,0.21999999999999997,0.6269684085148817
fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8154761904761905,0.6358041958041958,0.8307026307026306,0.38,0.31666666666666665,0.475,0.7124155405405406,0.3623126515162372,1762,402,2,0.19,0.6351778130029162
