,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,18,3,9,7,2,11
true_implicit_mmr,3,4,3,1,1,3
true_multi_method_not_mmr,15,2,12,3,1,5
true_no_method_signal,28,3,7,14,5,8
true_qual_only,5,1,0,1,1,0
true_quant_only,16,4,9,5,1,7
