model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_temporal_cluster_safe,864,0.7141203703703703,0.5082934921604092,0.7027059996646302,0.1901639344262295,0.2116788321167883,0.17261904761904762,0.5480124521072797,0.22896359550653103,1249,387,2,0.26999999999999996,0.5370813397129186
fusion_svm,target_integration_binary,split_temporal_cluster_safe,864,0.7268518518518519,0.5215093631201013,0.7130656070253385,0.2080536912751678,0.23846153846153847,0.18452380952380953,0.5243568691844553,0.21932653100344213,1249,387,2,0.38999999999999996,0.5317104420243434
fusion_mlp,target_integration_binary,split_temporal_cluster_safe,864,0.7569444444444444,0.5121951219512195,0.7233514001806683,0.16666666666666666,0.25,0.125,0.5715311986863711,0.24781023840815328,1249,387,2,0.05,0.6317143662766107
fusion_extra_trees,target_integration_binary,split_temporal_cluster_safe,864,0.7708333333333334,0.5209677419354839,0.7323924731182795,0.175,0.2916666666666667,0.125,0.5810370484400658,0.2553255325911118,1249,387,2,0.14999999999999997,0.6060548936811945
