model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cross_program_cluster_safe,1042,0.736084452975048,0.5223808452300589,0.7603062392187413,0.2028985507246377,0.1650943396226415,0.2631578947368421,0.6111896903976113,0.18815651362395303,1065,393,2,0.33999999999999997,0.6154555576799793
fusion_svm,target_integration_binary,split_cross_program_cluster_safe,1042,0.7207293666026872,0.5015116319213261,0.747695368698079,0.17094017094017094,0.13761467889908258,0.22556390977443608,0.5970123328122284,0.18302274317340697,1065,393,2,0.41999999999999993,0.6110771352006494
fusion_mlp,target_integration_binary,split_cross_program_cluster_safe,1042,0.8147792706333973,0.5688075558271423,0.8113412924086594,0.24313725490196078,0.2540983606557377,0.23308270676691728,0.6834330049546308,0.23234487472285548,1065,393,2,0.10999999999999999,0.6343052109181141
fusion_extra_trees,target_integration_binary,split_cross_program_cluster_safe,1042,0.7975047984644914,0.5903317228233427,0.8072903013625214,0.29900332225913623,0.26785714285714285,0.3383458646616541,0.7225117248566961,0.28797576889564575,1065,393,2,0.16999999999999998,0.6321372854914197
