epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.8069892525672913,0.3580705009276438,0.5578034682080925,0.39946593456089746,0.5578034682080925,1.0,0.7161410018552876,0.7290968200751803,0.7594631865803056,
2,1.0457477569580078,0.3580705009276438,0.5578034682080925,0.39946593456089746,0.5578034682080925,1.0,0.7161410018552876,0.6893900910968878,0.7432762208720005,
3,0.7242082357406616,0.3066132264529058,0.4421965317919075,0.27116661067800335,0.0,0.0,0.0,0.6549493718039894,0.7119996104801205,
4,0.7360089421272278,0.3066132264529058,0.4421965317919075,0.27116661067800335,0.0,0.0,0.0,0.6572183277456061,0.712969197566865,
5,0.7363203167915344,0.3066132264529058,0.4421965317919075,0.27116661067800335,0.0,0.0,0.0,0.6785194215855599,0.7304849230018073,
6,0.717918872833252,0.3181034927513801,0.4479768786127168,0.2836999468278472,1.0,0.010362694300518135,0.020512820512820513,0.6916251820244506,0.7413526936734178,
7,0.6984924674034119,0.5783805031446541,0.6416184971098265,0.5972575162685863,0.6202090592334495,0.9222797927461139,0.7416666666666667,0.6935216228114736,0.7473315915892447,
8,0.6874674558639526,0.3580705009276438,0.5578034682080925,0.39946593456089746,0.5578034682080925,1.0,0.7161410018552876,0.6784516915574519,0.7408402998286729,
9,0.6761362552642822,0.3580705009276438,0.5578034682080925,0.39946593456089746,0.5578034682080925,1.0,0.7161410018552876,0.6470249585153578,0.7249515418968314,
10,0.69309401512146,0.3580705009276438,0.5578034682080925,0.39946593456089746,0.5578034682080925,1.0,0.7161410018552876,0.6232517186494633,0.7131563598289491,
11,0.6873188614845276,0.3580705009276438,0.5578034682080925,0.39946593456089746,0.5578034682080925,1.0,0.7161410018552876,0.6240644789867588,0.7189323203474698,
12,0.6748799085617065,0.37230732264071603,0.5635838150289018,0.41236522680578114,0.561046511627907,1.0,0.7188081936685289,0.6293135561651259,0.7228308952467345,
13,0.6767567992210388,0.4894701542588866,0.5867052023121387,0.5152277828822648,0.5822368421052632,0.917098445595855,0.7122736418511066,0.6334450878797115,0.7254219991375842,
14,0.6616745591163635,0.47712429852856697,0.5057803468208093,0.4912754334876989,0.5470085470085471,0.6632124352331606,0.5995316159250585,0.6284669308137764,0.7214028610961691,
15,0.6504607796669006,0.47712429852856697,0.5057803468208093,0.4912754334876989,0.5470085470085471,0.6632124352331606,0.5995316159250585,0.6229469335229774,0.7156735204516265,
16,0.6567000150680542,0.47712429852856697,0.5057803468208093,0.4912754334876989,0.5470085470085471,0.6632124352331606,0.5995316159250585,0.6207795726235226,0.7109457685976619,
17,0.657175600528717,0.47469010109670273,0.5086705202312138,0.49013574615784417,0.5477178423236515,0.6839378238341969,0.6082949308755761,0.6202038673846049,0.7065776654503451,
18,0.6457471251487732,0.48175381263616557,0.5549132947976878,0.5042644225320185,0.568904593639576,0.8341968911917098,0.6764705882352942,0.6250126993802702,0.709089883463909,
19,0.6356455683708191,0.49203377639396595,0.569364161849711,0.5149464831956683,0.5763888888888888,0.8601036269430051,0.6902286902286903,0.6531883910731824,0.7150905631315266,
20,0.6372501254081726,0.5061588394009306,0.5780346820809249,0.5279393977888077,0.5824561403508772,0.8601036269430051,0.694560669456067,0.6796708320633953,0.7212270671064696,
