epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1
1,1.951021671295166,0.05694444444444444,0.205,0.07004166666666667
2,1.9705922603607178,0.0766568742097107,0.15,0.10400487721399845
3,1.9074983596801758,0.24379460890742785,0.35,0.28284031581852653
4,1.8538168668746948,0.2422191852560385,0.32,0.27590037856072586
5,1.8296594619750977,0.1327455177120169,0.1925,0.1544108505490415
6,1.8297929763793945,0.13937513135771332,0.22,0.17646174534993694
7,1.810071349143982,0.18596473434718885,0.2725,0.21382544982072957
8,1.7905631065368652,0.20747642748627093,0.31,0.24334494664310546
9,1.7775241136550903,0.17953155656096098,0.29,0.21417016772574748
10,1.771967887878418,0.1997144617834273,0.2975,0.23528649511408128
11,1.7440601587295532,0.20120068573915173,0.3,0.2299269003543323
12,1.7331082820892334,0.19926859632741986,0.295,0.2272041316526611
13,1.7188550233840942,0.21893586578386262,0.3375,0.2545405608237011
14,1.7254908084869385,0.24249632418099484,0.3775,0.2819815715804887
15,1.693075180053711,0.24907004572999492,0.375,0.29397254686340646
16,1.6782746315002441,0.23368239603533722,0.395,0.2817775048480931
17,1.6660938262939453,0.23676610453431324,0.405,0.2873917262145079
18,1.640073299407959,0.23758603152632696,0.39,0.2984687250319366
19,1.6266251802444458,0.2508625685814807,0.3975,0.316321751523496
20,1.618582844734192,0.2702472279954985,0.4,0.33074044450567114
21,1.6057287454605103,0.2605261182708582,0.3725,0.3222662152018281
22,1.5999797582626343,0.2799762556753537,0.3875,0.3326811601897714
23,1.5970317125320435,0.2727223071873653,0.365,0.32370892065074086
24,1.5827566385269165,0.28309010620907,0.37,0.32208431078140115
25,1.577834963798523,0.2962819184802245,0.39,0.33405617629687034
26,1.5653620958328247,0.289476792668282,0.39,0.33335514196684407
27,1.5534517765045166,0.2596754895185982,0.3675,0.3091384672917668
28,1.563733458518982,0.304891240557449,0.435,0.36035915533836715
29,1.542688012123108,0.29751082251082256,0.43,0.3512656926406927
30,1.5447661876678467,0.2895159864654318,0.4075,0.3501692462975331
31,1.5256221294403076,0.29756272679498313,0.415,0.35816372013347986
32,1.5176271200180054,0.31541465721467216,0.425,0.3730030884291811
33,1.5212918519973755,0.31431522350229385,0.4225,0.3761527676046248
34,1.5149738788604736,0.30912866933418504,0.41,0.36700909504282264
35,1.5159229040145874,0.3040704415262813,0.425,0.3663180855216472
36,1.4877628087997437,0.32828304897853317,0.445,0.38578909702816966
37,1.503795862197876,0.2946565773073658,0.3925,0.35028008159380725
38,1.490725040435791,0.33422136761339455,0.415,0.38185015139699574
39,1.4717457294464111,0.31683627488011895,0.4025,0.37467587324624074
40,1.480955958366394,0.3202089832408738,0.395,0.371549717443493
41,1.471191644668579,0.29923652985699356,0.3825,0.35676816604927475
42,1.4487674236297607,0.32279723249072284,0.4275,0.3887702696496882
43,1.4562734365463257,0.3160841680325725,0.415,0.3734736192109275
44,1.4653352499008179,0.3435683708586538,0.435,0.40194770494959664
45,1.4508720636367798,0.356471488557794,0.44,0.41397834505334147
46,1.4426647424697876,0.32001822167059546,0.385,0.36775161326438044
47,1.4293726682662964,0.3151624463346429,0.395,0.36947344442425434
48,1.415317416191101,0.34263846019919203,0.435,0.40137936254139517
49,1.4406661987304688,0.3087370032409528,0.3725,0.3583618522362048
50,1.4054306745529175,0.31653198011742345,0.3825,0.366957412149511
51,1.4054129123687744,0.3282134807473234,0.43,0.39275092154644187
52,1.4115122556686401,0.3387003289295552,0.4125,0.386154676218464
53,1.3832449913024902,0.31907745444562985,0.39,0.36718309528673315
54,1.3821539878845215,0.343966232500067,0.41,0.3910813794065674
55,1.363181710243225,0.329346299506474,0.3925,0.3776761822582303
56,1.36421537399292,0.3262889442348311,0.3875,0.3722298636060512
57,1.3632868528366089,0.31649640079034774,0.3875,0.3674172857163478
