epoch,loss,threshold,train_accuracy,train_macro_f1,train_weighted_f1,train_positive_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,val_accuracy,val_macro_f1,val_weighted_f1,val_positive_f1,val_precision,val_recall,val_roc_auc,val_pr_auc
1,0.6995701193809509,0.5,0.4853025936599424,0.4230288698760858,0.4056577785047994,0.6125813449023861,0.4653922214897825,0.8959390862944162,0.5250698170551944,0.46669829265189555,0.525,0.43979242835240007,0.4452544521759642,0.658273381294964,0.5213675213675214,0.8926829268292683,0.5150719199499687,0.5227796117438086
2,2.781255006790161,0.5,0.545821325648415,0.35309470544369875,0.3854532404094325,0.0,0.0,0.0,0.5973693308819193,0.5287612594507874,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.6352470293933707,0.6508936586547355
3,0.6344255805015564,0.5,0.6484149855907781,0.6368977858775934,0.6428241119436011,0.5722300140252454,0.6394984326018809,0.5177664974619289,0.7035080055103211,0.6477498484552875,0.6375,0.6343715919334808,0.633526076239827,0.6005509641873278,0.689873417721519,0.5317073170731708,0.7007129455909943,0.7008880090417795
4,1.20194411277771,0.5,0.454178674351585,0.31232659532302814,0.28370415805711374,0.6246531906460563,0.454178674351585,1.0,0.6209282318194245,0.5637581182222668,0.5125,0.33884297520661155,0.34731404958677686,0.6776859504132231,0.5125,1.0,0.6427767354596623,0.632628249108648
5,1.1629326343536377,0.5,0.454178674351585,0.31232659532302814,0.28370415805711374,0.6246531906460563,0.454178674351585,1.0,0.6166869462207666,0.5820342113612025,0.5125,0.33884297520661155,0.34731404958677686,0.6776859504132231,0.5125,1.0,0.6033771106941839,0.627748484175312
6,0.961918294429779,0.5,0.4547550432276657,0.31350528848245146,0.28496817157712867,0.6249008723235527,0.4544405997693195,1.0,0.6333988175322551,0.5943989014820447,0.5125,0.33884297520661155,0.34731404958677686,0.6776859504132231,0.5125,1.0,0.5713320825515948,0.5832460324277761
7,0.7636716961860657,0.5,0.45763688760806914,0.3193670240684437,0.2912533305866017,0.6261422328168454,0.4557547715442452,1.0,0.6930863694595275,0.6453139919021956,0.515,0.3445060143262603,0.3528635626436005,0.6788079470198676,0.5137844611528822,1.0,0.6818761726078799,0.676836108555151
8,0.659960150718689,0.5,0.5487031700288184,0.49014273323773,0.47430751308503777,0.6629358588032717,0.501628664495114,0.9771573604060914,0.7363943846182709,0.6621628509761843,0.535,0.426474669297894,0.4327117572692794,0.6759581881533101,0.5257452574525745,0.9463414634146341,0.7153220762976861,0.7135550311563562
9,0.6528628468513489,0.5,0.6380403458213256,0.5933796088968503,0.605729273542053,0.4586206896551724,0.7150537634408602,0.33756345177664976,0.7489520741427644,0.6734722290382562,0.5975,0.565214455944207,0.562252479425327,0.44673539518900346,0.7558139534883721,0.3170731707317073,0.7498436522826766,0.7378309135446858
10,0.6965100765228271,0.5,0.5452449567723343,0.3528534129056322,0.3851898351834394,0.0,0.0,0.0,0.6732695822769205,0.5861881501123073,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.7108192620387743,0.7140982610089226
11,0.7100120782852173,0.5,0.545821325648415,0.35309470544369875,0.3854532404094325,0.0,0.0,0.0,0.6743081277236692,0.5878334937625789,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.654859287054409,0.6235640906653697
12,0.7157501578330994,0.5,0.545821325648415,0.35309470544369875,0.3854532404094325,0.0,0.0,0.0,0.6586535626799028,0.5767113680164411,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.6592370231394622,0.6419797431069105
13,0.7011403441429138,0.5,0.545821325648415,0.35309470544369875,0.3854532404094325,0.0,0.0,0.0,0.6931573925674986,0.6123283194776401,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.6689430894308943,0.6457494524947259
14,0.6904712319374084,0.5,0.545821325648415,0.35309470544369875,0.3854532404094325,0.0,0.0,0.0,0.6885368703734476,0.6019664009053197,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.7074671669793621,0.6758907238553759
15,0.6808560490608215,0.5,0.5463976945244957,0.3556452796461121,0.38777412918600934,0.0050568900126422255,0.6666666666666666,0.0025380710659898475,0.7039850663865049,0.6077327012815003,0.4875,0.3277310924369748,0.3195378151260504,0.0,0.0,0.0,0.6814509068167603,0.6581566995233101
16,0.677610456943512,0.5,0.547550432276657,0.36514281052987313,0.39632862973174265,0.024844720496894408,0.5882352941176471,0.012690355329949238,0.6925717869413965,0.5989407430149303,0.485,0.3265993265993266,0.31843434343434346,0.0,0.0,0.0,0.7141213258286429,0.6760793510604675
17,0.6690829396247864,0.5,0.5608069164265129,0.4082219667834046,0.43575999969288726,0.10772833723653395,0.696969696969697,0.0583756345177665,0.7133359955831667,0.6248754354486934,0.5175,0.4000202065733538,0.3933829301085715,0.13452914798206278,0.8333333333333334,0.07317073170731707,0.7274046278924328,0.6843480050863794
18,0.6643182039260864,0.5,0.5711815561959654,0.44272333547464615,0.4672429718428211,0.17516629711751663,0.6929824561403509,0.10025380710659898,0.7361625544733836,0.6374243965545618,0.5275,0.4306157032573903,0.4247439276972322,0.19574468085106383,0.7666666666666667,0.11219512195121951,0.7412632895559724,0.7043553705351581
19,0.6597511768341064,0.5,0.5861671469740634,0.47964494569757726,0.501220780096254,0.24421052631578946,0.7160493827160493,0.14720812182741116,0.750393977240444,0.6566411065859713,0.5375,0.4480865758247004,0.44253294699393647,0.22594142259414227,0.7941176470588235,0.13170731707317074,0.7627517198248907,0.7295627344722624
20,0.6546319127082825,0.5,0.6069164265129683,0.5302291863186948,0.5476232964340862,0.3404255319148936,0.7154471544715447,0.2233502538071066,0.7751274395767559,0.6718554818623774,0.58,0.5303983228511531,0.5265828092243185,0.37777777777777777,0.7846153846153846,0.24878048780487805,0.7777360850531583,0.7430751437197121
21,0.6538010835647583,0.5,0.6357348703170029,0.5845482816942391,0.5979122678863893,0.43872113676731794,0.7307692307692307,0.3134517766497462,0.7712359092833903,0.6672167125098549,0.62,0.5901197281846619,0.5873530363499083,0.4794520547945205,0.8045977011494253,0.34146341463414637,0.7863664790494058,0.7574264962025022
22,0.6476513147354126,0.5,0.6443804034582132,0.6010142968370591,0.6130688614397924,0.469475494411006,0.728,0.3464467005076142,0.7873702153206223,0.6953765628086195,0.64,0.6138996138996139,0.6113899613899614,0.5135135135135135,0.8351648351648352,0.37073170731707317,0.7801125703564729,0.7713446551530256
23,0.6452192068099976,0.5,0.6443804034582132,0.5985888109061361,0.6110134921617337,0.4630113141862489,0.7368421052631579,0.33756345177664976,0.7871759068176822,0.702030032286376,0.6325,0.6041763434779974,0.6015292727750066,0.49829351535836175,0.8295454545454546,0.35609756097560974,0.7957473420888055,0.7764309209150086
24,0.642155647277832,0.5,0.6357348703170029,0.5777379334990773,0.5920793222301041,0.42124542124542125,0.756578947368421,0.2918781725888325,0.7886727523196415,0.7047624628290149,0.6225,0.5884857775506729,0.5855280190768183,0.47017543859649125,0.8375,0.32682926829268294,0.7860412757973734,0.7624626861523455
25,0.6425435543060303,0.5,0.6172910662824207,0.5495085433989652,0.5655225421188306,0.3747645951035782,0.7262773722627737,0.25253807106598986,0.7817459892044876,0.6955076721219707,0.595,0.5519415864586791,0.5484691337537337,0.41304347826086957,0.8028169014084507,0.2780487804878049,0.7874921826141339,0.7567893150582179
26,0.6409201622009277,0.5,0.607492795389049,0.5296041984418277,0.547145681323709,0.33819241982507287,0.7219917012448133,0.22081218274111675,0.7856361794392123,0.6883760851424211,0.59,0.5415793151642208,0.53785464709993,0.3925925925925926,0.8153846153846154,0.25853658536585367,0.7948467792370231,0.7792312568442687
27,0.6375771164894104,0.5,0.6178674351585014,0.5470578576634619,0.563469990056627,0.3679694947569113,0.7394636015325671,0.24492385786802032,0.793340846595447,0.7103158069415165,0.6025,0.5639026597823628,0.5606591858144941,0.43416370106761565,0.8026315789473685,0.2975609756097561,0.8065791119449656,0.7788649114477206
28,0.6329730153083801,0.5,0.6247838616714697,0.563082347015865,0.5781291887800386,0.3988919667590028,0.7322033898305085,0.27411167512690354,0.8015868974426321,0.708046629922263,0.64,0.6128095506977494,0.6102444139711221,0.5102040816326531,0.8426966292134831,0.36585365853658536,0.8050031269543465,0.7896495494319751
29,0.6323444843292236,0.5,0.6380403458213256,0.5933796088968503,0.605729273542053,0.4586206896551724,0.7150537634408602,0.33756345177664976,0.7930292829614225,0.7040262090307434,0.6475,0.623495483948491,0.6211187991909158,0.5284280936454849,0.8404255319148937,0.3853658536585366,0.8218136335209506,0.8027970334777903
30,0.6282075643539429,0.5,0.6789625360230548,0.6553646809022046,0.6636291279599472,0.565183450429352,0.7342799188640974,0.4593908629441624,0.8003761544605192,0.7081807680342902,0.67,0.6569557420930897,0.6552834013357934,0.5900621118012422,0.811965811965812,0.4634146341463415,0.8151344590368981,0.7838449806599129
31,0.6233922243118286,0.5,0.7025936599423631,0.6881817953840624,0.6943251907319709,0.6211453744493393,0.7369337979094077,0.5368020304568528,0.8060104310164613,0.714344134734401,0.6975,0.6916706481923873,0.6906107660455487,0.6492753623188405,0.8,0.5463414634146342,0.8126829268292682,0.7943665450189232
32,0.621489942073822,0.5,0.7095100864553314,0.6976950648833428,0.7031719990814366,0.6379310344827587,0.7350993377483444,0.5634517766497462,0.8084379472445714,0.7140302797688993,0.735,0.7323232323232323,0.7316540404040404,0.7055555555555556,0.8193548387096774,0.6195121951219512,0.823739837398374,0.7971683275681107
33,0.6168489456176758,0.5,0.7037463976945245,0.6898699929334913,0.6958818413176991,0.6242690058479532,0.7362068965517241,0.5418781725888325,0.8112152187779738,0.7217510945903316,0.7275,0.7243141048744555,0.7235731990313056,0.6946778711484594,0.8157894736842105,0.6048780487804878,0.817748592870544,0.799990535710522
34,0.6131359338760376,0.5,0.6881844380403458,0.666959506184579,0.6746644472007135,0.5828835774865073,0.7426326129666012,0.4796954314720812,0.8141579875535354,0.7164667267476115,0.685,0.6750483558994197,0.6736266924564797,0.6181818181818182,0.816,0.4975609756097561,0.8028517823639776,0.7705491269703733
35,0.6110260486602783,0.5,0.6887608069164265,0.6621416949387247,0.670832534372923,0.5673076923076923,0.7695652173913043,0.44923857868020306,0.8148119361703268,0.7287284356267788,0.67,0.6576408341114224,0.6560146280734516,0.5925925925925926,0.8067226890756303,0.4682926829268293,0.8114321450906816,0.7942387721857094
36,0.6097921133041382,0.5,0.6737752161383286,0.6427890687293023,0.652430550995516,0.5375816993464052,0.7545871559633027,0.41751269035532995,0.8095354552715226,0.7178058087986741,0.6725,0.6584962102203482,0.6567673472845886,0.5893416927899686,0.8245614035087719,0.4585365853658537,0.8056535334584115,0.7925780008390078
